Pub_ID,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,"""Form""",Record_ID,Notes
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,albipes,null,null,sp0000000233,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,papuensis,null,null,sp0000000234,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,andamanensis,null,null,sp0000000235,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,anopheloides,null,null,sp0000000236,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,Nomina Dubia 4,mcgregori,null,null,sp0000000237,
pub0000000005,Culicinae,Aedini,Aedes,Abraedes,papago,null,null,sp0000000238,
pub0000000005,Culicinae,Aedini,Aedes,Aztecaedes,ramirezi,null,null,sp0000000239,
pub0000000005,Culicinae,Aedini,Aedes,Gymnometopa,mediovittatus,null,null,sp0000000240,
pub0000000005,Culicinae,Aedini,Haemagogus,Conopostegus,leucotaeniatus,null,null,sp0000000241,
pub0000000005,Culicinae,Aedini,Haemagogus,Conopostegus,leucotaeniatus,null,Large Colombian,sp0000000242,
pub0000000005,Culicinae,Aedini,Haemagogus,Conopostegus,leucotaeniatus,null,Peruvian Highland,sp0000000243,
pub0000000005,Culicinae,Aedini,Haemagogus,Conopostegus,leucophoebus,null,null,sp0000000244,
pub0000000005,Culicinae,Aedini,Haemagogus,Conopostegus,leucocelaenus,null,null,sp0000000245,
pub0000000005,Culicinae,Aedini,Haemagogus,Conopostegus,clarki,null,null,sp0000000246,
pub0000000005,Culicinae,Aedini,Haemagogus,Conopostegus,,null,Small Colombian,sp0000000247,
pub0000000005,Culicinae,Aedini,Haemagogus,Conopostegus,,null,Peruvian Lowland,sp0000000248,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,flavescens,null,null,sp0000000249,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,pallens,fulvus,null,sp0000000250,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,grossbecki,null,null,sp0000000251,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,hexodontus,null,null,sp0000000252,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,idahoensis,spencerii,null,sp0000000253,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,impiger,null,null,sp0000000254,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,implicatus,null,null,sp0000000255,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,increpitus,null,null,sp0000000256,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,infirmatus,null,null,sp0000000257,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,intrudens,null,null,sp0000000258,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,melanimon,null,null,sp0000000259,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,mitchellae,null,null,sp0000000260,
pub0000000002,Culicinae,Aedini,Aedes,Lewnielsenius,muelleri,null,null,sp0000000261,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,nigripes,null,null,sp0000000262,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,nigromaculis,null,null,sp0000000263,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,niphadopsis,null,null,sp0000000264,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,pionips,null,null,sp0000000265,
